Familia,nombre_cientifico,nombre_comun,nombre_ingles,categoria_IUCN,categoria_MMA,status
Fregatidae,Fregata magnificens,Ave fragata magnífica,Magnificent Frigatebird,LC,,E
Fregatidae,Fregata minor,Ave fragata grande,Great Frigatebird,LC,VU,X
Oceanitidae,Fregetta grallaria,Golondrina de mar de vientre blanco,White-bellied Storm-Petrel,LC,EN,X
Oceanitidae,Fregetta tropica,Golondrina de mar de vientre negro,Black-bellied Storm-Petrel,LC,,E
Rallidae,Fulica ardesiaca,Tagua andina,Slate-colored Coot,LC,,X
Rallidae,Fulica armillata,Tagua común,Red-gartered Coot,LC,,X
Rallidae,Fulica cornuta,Tagua cornuda,Horned Coot,NT,NT,X
Rallidae,Fulica gigantea,Tagua gigante,Giant Coot,LC,LC,X
Rallidae,Fulica leucoptera,Tagua chica,White-winged Coot,LC,,X
Rallidae,Fulica rufifrons,Tagua de frente roja,Red-fronted Coot,LC,,X
Procellariidae,Fulmarus glacialis,Petrel plateado boreal,Northern Fulmar,LC,,E
Procellariidae,Fulmarus glacialoides,Petrel plateado,Southern Fulmar,LC,,NR
Scolopacidae,Gallinago andina,Becacina de la puna,Puna Snipe,LC,,X
Scolopacidae,Gallinago magellanica,Becacina común,Magellanic Snipe,LC,LC,X
Scolopacidae,Gallinago stricklandii,Becacina grande,Fuegian Snipe,NT,,X
Rallidae,Gallinula galeata,Tagüita del norte,Common Gallinule,LC,,X
Oceanitidae,Garrodia nereis,Golondrina de mar subantártica,Gray-backed Storm-Petrel,LC,,E
Laridae,Gelochelidon nilotica,Gaviotín de pico negro,Gull-billed Tern,LC,,E
Furnariidae,Geositta antarctica,Minero austral,Short-billed Miner,LC,,X
Furnariidae,Geositta cunicularia,Minero común,Common Miner,LC,,X
Furnariidae,Geositta isabellina,Minero grande,Creamy-rumped Miner,LC,,X
Furnariidae,Geositta maritima,Minero chico,Grayish Miner,LC,,X
Furnariidae,Geositta punensis,Minero de la puna,Puna Miner,LC,,X
Furnariidae,Geositta rufipennis,Minero cordillerano,Rufous-banded Miner,LC,,X
Thraupidae,Geospizopsis plebejus,Plebeyo,Ash-breasted Sierra Finch,LC,,X
Thraupidae,Geospizopsis unicolor,Pájaro plomo,Plumbeous Sierra Finch,LC,,X
Parulidae,Geothlypis aequinoctialis,Arañero cara negra,Masked Yellowthroat,LC,,E
Accipitridae,Geranoaetus melanoleucus,Águila,Black-chested Buzzard-Eagle,LC,,X
Accipitridae,Geranoaetus polyosoma,Aguilucho común,Variable Hawk,LC,,X
Accipitridae,Geranoaetus polyosoma (Puna),Aguilucho de la puna,Variable Hawk (Puna),,DD,X
Accipitridae,Geranoaetus polyosoma exsul,Aguilucho de masafuera,Variable Hawk (Juan Fernandez),,CR,X(e)
Accipitridae,Geranoaetus polyosoma polyosoma,,Variable Hawk (Variable),,,X
Strigidae,Glaucidium nana,Chuncho austral,Austral Pygmy-Owl,LC,,X
Strigidae,Glaucidium peruanum,Chuncho del norte,Peruvian Pygmy-Owl,LC,,X
Laridae,Gygis alba,Gaviotín blanco,White Tern,LC,,E
